id, topics,components,pr_number
67,Health Care Fraud; ,"Criminal Division; USAO - Louisiana, Eastern; ",18-409; 
68,Counterintelligence and Export Control; ,Criminal Division; National Security Division (NSD); USAO - Kansas; ,18-407; 
69,Immigration; ,Executive Office for Immigration Review; Office of the Attorney General; ,18 - 408; 
70,Environment; ,Environment and Natural Resources Division; ,18-406; 
71,Immigration; ,Civil Division; USAO - District of Columbia; USAO - Oregon; ,18-405; 
72,None,Office of the Deputy Attorney General; ,18 - 400; 
73,Consumer Protection; Health Care Fraud; ,"Civil Division; USAO - Texas, Northern; ",18-408; 
74,Tax; ,Tax Division; ,18-401; 
75,Tax; ,Tax Division; ,None
76,Tax; ,Tax Division; ,18-399; 
77,Opioids; ,"Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF); Criminal Division; Drug Enforcement Administration (DEA); Federal Bureau of Investigation (FBI); Office of the Attorney General; ",18-397; 
78,Antitrust; ,Antitrust Division; ,18-398; 
79,Project Safe Childhood; ,"Criminal Division; USAO - Alabama, Northern; ",18-396; 
80,None,Office of the Attorney General; ,18 - 393; 
81,None,Office of the Attorney General; ,18-395; 
82,Project Safe Childhood; ,Criminal Division; USAO - Maryland; ,18-394; 
83,Environment; ,Environment and Natural Resources Division; ,18-392; 
84,Environment; ,"Environment and Natural Resources Division; USAO - California, Eastern; ",18-391; 
85,Prescription Drugs; ,Drug Enforcement Administration (DEA); Office of the Attorney General; ,18 - 390; 
86,Consumer Protection; Health Care Fraud; ,"Civil Division; USAO - New York, Northern; ",18-389; 
87,Counterterrorism; ,National Security Division (NSD); USAO - Maryland; ,18-388; 
88,None,"Criminal Division; USAO - Florida, Middle; ",18-387; 
89,None,"Criminal Division; USAO - Kentucky, Eastern; ",18-386; 
90,None,Criminal Division; ,18-385; 
91,None,"Environment and Natural Resources Division; USAO - Georgia, Southern; ",18-384; 
92,Opioids; Health Care Fraud; ,Criminal Division; ,18-383; 
93,None,Criminal Division; USAO - Maryland; ,18-382; 
94,Financial Fraud; ,Criminal Division; Criminal - Criminal Fraud Section; ,18-381; 
95,Health Care Fraud; ,"Criminal Division; USAO - Michigan, Eastern; ",18-380; 
96,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,18-379; 
97,False Claims Act; Health Care Fraud; ,"Civil Division; USAO - Texas, Northern; ",18-375; 
98,Consumer Protection; Health Care Fraud; ,"Civil Division; USAO - New York, Eastern; ",18-377; 
99,Financial Fraud; Mortgage Fraud; ,"USAO - New York, Eastern; ",None
100,Immigration; ,"Criminal Division; USAO - North Carolina, Eastern; ",18-378; 
101,Health Care Fraud; ,"Criminal Division; USAO - Louisiana, Eastern; ",18-376; 
102,False Claims Act; Health Care Fraud; ,"Civil Division; USAO - Virginia, Eastern; ",18-371; 
103,Servicemembers Initiative; ,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,18-374; 
104,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-373; 
105,Consumer Protection; Health Care Fraud; ,"Civil Division; USAO - Florida, Middle; ",18-373; 
106,Tax; ,Tax Division; ,18-369; 
107,Tax; ,Tax Division; ,18-370; 
108,Tax; ,Tax Division; USAO - District of Columbia; ,18-367; 
109,Tax; ,Tax Division; USAO - Rhode Island; ,18-368; 
110,Grants; ,Civil Division; ,18-366; 
111,Environment; ,Environment and Natural Resources Division; ,18-365; 
112,None,Civil Rights Division; Civil Rights - Criminal Section; ,18-364; 
113,Consumer Protection; ,Civil Division; ,18-363; 
114,Tax; ,"Tax Division; USAO - Virginia, Eastern; ",18-361; 
115,Public Corruption; ,Criminal Division; ,18-362; 
116,Civil Rights; ,Civil Rights Division; Civil Rights - Employment Litigation Section; USAO - Wyoming; ,18-359; 
117,None,Office of the Attorney General; ,18 - 360; 
118,None,Criminal Division; ,18-358; 
119,Wildlife; ,Environment and Natural Resources Division; ,13-356; 
120,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - Pennsylvania, Middle; ",18-357; 
121,False Claims Act; Health Care Fraud; ,Civil Division; USAO - Maryland; ,18-353; 
122,Antitrust; ,Antitrust Division; ,18-355; 
123,None,Office of the Attorney General; ,18 - 352; 
124,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - New York, Southern; ",18-350; 
125,None,"Criminal Division; USAO - Virginia, Eastern; ",18-350; 
126,None,"Criminal Division; USAO - Tennessee, Middle; ",18-349; 
127,Tax; ,Tax Division; ,18-348; 
128,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,18-347; 
129,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-344; 
130,Antitrust; ,Antitrust Division; Federal Bureau of Investigation (FBI); ,18-343; 
131,Counterterrorism; ,"National Security Division (NSD); USAO - Michigan, Eastern; ",18-342; 
132,None,Civil Rights Division; Civil Rights - Criminal Section; ,18-341; 
133,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,18-; 
134,Drug Trafficking; Opioids; Prescription Drugs; ,Office of the Attorney General; U.S. Attorneys (USAO); ,18 - 339; 
135,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - Florida, Southern; ",18-337; 
136,Counterintelligence and Export Control; ,National Security Division (NSD); USAO - Minnesota; ,18-338; 
137,Counterterrorism; ,"National Security Division (NSD); USAO - Ohio, Northern; ",18-336; 
138,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - New York, Southern; ",18-335; 
139,None,Tax Division; ,18 - 334; 
140,None,"Criminal Division; USAO - Pennsylvania, Eastern; ",18-331; 
141,Violent Crime; ,"Criminal Division; USAO - Louisiana, Western; ",18-332; 
142,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,18-333; 
143,Human Trafficking; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-328; 
144,None,Environment and Natural Resources Division; ,18-326; 
145,Drug Trafficking; ,Office of the Attorney General; ,18 - 325; 
146,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,18-324; 
147,National Security; ,National Security Division (NSD); USAO - Arizona; ,18-323; 
148,Tax; ,"Tax Division; USAO - Florida, Southern; ",18-322; 
149,Tax; ,Tax Division; ,18-321; 
150,None,"Federal Bureau of Investigation (FBI); Office of the Attorney General; USAO - California, Southern; ",18 - 320; 
151,False Claims Act; ,Civil Division; ,18-316; 
152,Financial Fraud; Foreign Corruption; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - New York, Southern; ",18-319; 
153,Violent Crime; ,Criminal Division; USAO - Maryland; ,18-314; 
154,Public Corruption; ,"Criminal Division; Federal Bureau of Investigation (FBI); USAO - Tennessee, Middle; ",18-313; 
155,None,Community Oriented Policing Services (COPS); Office of the Attorney General; ,18 - 312; 
156,National Security; ,"National Security Division (NSD); USAO - Florida, Southern; ",18-309; 
157,Health Care Fraud; ,Criminal Division; Criminal - Criminal Fraud Section; Federal Bureau of Investigation (FBI); ,18-310; 
158,None,"Civil Rights Division; USAO - Louisiana, Middle; ",18-308; 
159,Tax; ,"Tax Division; USAO - West Virginia, Southern; ",18-307; 
160,Firearms Offenses; Violent Crime; ,Criminal Division; USAO - Maryland; ,18-306; 
161,Opioids; ,Office of Tribal Justice; ,None
162,Tax; ,Tax Division; ,18-304; 
163,Foreign Corruption; ,Criminal Division; Criminal - Criminal Fraud Section; USAO - Maryland; ,18-305; 
164,Tax; ,"Tax Division; USAO - North Carolina, Middle; ",18-302; 
165,Counterterrorism; National Security; ,Federal Bureau of Investigation (FBI); National Security Division (NSD); USAO - New Jersey; ,18-303; 
166,Health Care Fraud; ,"Criminal Division; Federal Bureau of Investigation (FBI); USAO - California, Central; ",18-301; 
167,National Security; ,"National Security Division (NSD); USAO - New York, Eastern; ",18-300; 
168,None,Office of the Attorney General; ,18 - 297; 
169,Environment; ,Environment and Natural Resources Division; ,18-298; 
170,Consumer Protection; Elder Justice; ,Civil Division; ,18-296; 
171,None,"Criminal Division; USAO - North Carolina, Western; ",18-295; 
172,None,Office of the Attorney General; ,18 - 294; 
173,False Claims Act; ,Civil Division; USAO - New Jersey; ,18-293; 
174,Antitrust; ,Antitrust Division; ,18-292; 
175,None,Office of the Attorney General; ,18 - 291; 
176,Immigration; ,Criminal Division; ,18-289; 
177,Project Safe Childhood; ,Criminal Division; USAO - Colorado; ,18-288; 
178,None,"Criminal Division; USAO - Illinois, Central; ",18-287; 
179,None,Civil Rights Division; Civil Rights - Criminal Section; ,18-284; 
180,Counterterrorism; ,"National Security Division (NSD); USAO - Alabama, Northern; ",18-286; 
181,None,Office of Information Policy; ,18-282; 
182,None,"Criminal Division; USAO - Tennessee, Middle; ",18-285; 
183,Tax; ,"Tax Division; USAO - Alabama, Middle; ",18-283; 
184,Tax; ,"Tax Division; USAO - Louisiana, Eastern; ",18-281; 
185,Civil Rights; ,"Civil Rights Division; USAO - Mississippi, Northern; ",18-280; 
186,None,Criminal Division; ,18-279; 
187,Health Care Fraud; ,"Criminal Division; USAO - Tennessee, Middle; ",18-278; 
188,False Claims Act; Health Care Fraud; ,"Civil Division; USAO - Pennsylvania, Western; ",18-273; 
189,None,Office of the Attorney General; ,18 - 277; 
190,Immigration; ,Office of the Deputy Attorney General; ,18-274; 
191,None,Criminal Division; USAO - Nebraska; ,18-272; 
192,None,"Criminal Division; USAO - Georgia, Northern; ",18-271; 
193,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,18-265; 
194,None,"Criminal Division; USAO - Georgia, Northern; ",18-270; 
195,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - Texas, Southern; ",18-168; 
196,None,"Criminal Division; USAO - New York, Eastern; ",18-267; 
197,Antitrust; ,Antitrust Division; ,18-269; 
198,Antitrust; ,Antitrust Division; ,18-266; 
199,None,Civil Rights Division; Civil Rights - Immigrant and Employee Rights Section; ,18-264; 
200,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,18-263; 
201,Health Care Fraud; ,"Criminal Division; USAO - Mississippi, Southern; ",18-262; 
202,None,Civil Rights Division; Civil Rights - Criminal Section; ,18-260; 
203,None,"Criminal Division; USAO - Florida, Middle; ",None
204,Servicemembers Initiative; ,Civil Rights Division; Civil Rights - Employment Litigation Section; ,18-247; 
205,Consumer Protection; Health Care Fraud; ,"Civil Division; USAO - Arkansas, Eastern; ",18-258; 
206,Tax; ,"Tax Division; USAO - Tennessee, Western; ",18-257; 
207,Prescription Drugs; ,Drug Enforcement Administration (DEA); Office of the Attorney General; ,18 - 255; 
208,None,Office of Justice Programs (OJP); National Institute of Justice (OJP); ,None
209,None,Tax Division; USAO - Utah; ,18-256; 
210,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,18-254; 
211,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,18-253; 
212,False Claims Act; ,Civil Division; ,18-252; 
213,Health Care Fraud; ,"Criminal Division; USAO - Florida, Southern; ",18-251; 
214,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-249; 
215,Hate Crimes; ,"Civil Rights Division; Civil Rights - Criminal Section; USAO - District of Columbia; USAO - Georgia, Northern; USAO - Texas, Eastern; ",18-250; 
216,None,"Criminal Division; USAO - Indiana, Northern; ",18-248; 
217,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Eastern; ",18-246; 
218,Environment; ,Environment and Natural Resources Division; ,18-245; 
219,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,18-244; 
220,Opioids; Prescription Drugs; ,Office of the Attorney General; ,18 - 242; 
221,Opioids; ,Office of the Attorney General; ,18 - 243; 
222,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-240; 
223,None,Criminal Division; USAO - Nevada; ,18-238; 
224,Environment; ,Environment and Natural Resources Division; ,18-237; 
225,None,"Civil Rights Division; Civil Rights - Criminal Section; USAO - Kentucky, Eastern; ",18-235; 
226,Cyber Crime; ,"Criminal Division; USAO - Virginia, Eastern; ",18-234; 
227,False Claims Act; Health Care Fraud; ,"Civil Division; USAO - Florida, Southern; ",18-233; 
228,Opioids; ,Office of the Attorney General; ,18 - 219; 
229,Counterterrorism; ,"National Security Division (NSD); USAO - Virginia, Eastern; ",18-232; 
230,Tax; ,Tax Division; ,18-231; 
231,Tax; ,Tax Division; USAO - Kansas; ,18-228; 
232,None,Criminal Division; USAO - Nebraska; ,18-230; 
233,Drug Trafficking; ,Criminal Division; ,18-229; 
234,Health Care Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Florida, Southern; ",18-227; 
235,Immigration; ,Civil Division; ,18-226; 
236,Servicemembers Initiative; ,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,18-223; 
237,Consumer Protection; Elder Justice; ,Civil Division; ,18 - 225; 
238,Tax; ,"Tax Division; USAO - New York, Southern; ",18-221; 
239,None,Civil Rights Division; Civil Rights - Criminal Section; ,18-220; 
240,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-218; 
241,Tax; ,Tax Division; USAO - Minnesota; ,18-216; 
242,None,Criminal Division; ,18-217; 
243,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Southern; ",18-214; 
244,None,Office of the Deputy Attorney General; ,18 - 215; 
245,None,Office of the Deputy Attorney General; ,18 - 213; 
246,Financial Fraud; ,"Criminal Division; USAO - Virginia, Western; ",18-210; 
247,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,18-207; 
248,None,Civil Rights Division; Civil Rights - Voting Section; ,18-208; 
249,None,Civil Rights Division; Civil Rights - Immigrant and Employee Rights Section; ,18-206; 
250,Cyber Crime; ,Office of the Attorney General; ,18 - 196; 
251,None,"Criminal Division; USAO - Virginia, Eastern; ",18-202; 
252,Tax; ,"Tax Division; USAO - Texas, Southern; ",18-203; 
253,None,Office of the Attorney General; ,18 - 205; 
254,Counterintelligence and Export Control; ,National Security Division (NSD); USAO - Minnesota; ,18-204; 
255,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Eastern; ",18-201; 
256,Immigration; ,Criminal Division; USAO - Puerto Rico; ,18-200; 
257,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Eastern; ",18-199; 
258,None,Office of the Deputy Attorney General; ,18 - 198; 
259,None,Federal Bureau of Investigation (FBI); Office of the Attorney General; ,18 - 197; 
260,Tax; ,"Tax Division; USAO - Pennsylvania, Eastern; ",18-195; 
261,Tax; ,Tax Division; ,18-193; 
262,None,National Security Division (NSD); Office of the Attorney General; ,18 - 194; 
263,Civil Rights; Servicemembers Initiative; ,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,18-192; 
264,None,Criminal Division; USAO - Nebraska; ,18-190; 
265,Antitrust; ,Antitrust Division; ,18-191; 
266,None,Criminal Division; ,18-189; 
267,Antitrust; ,Antitrust Division; ,18-188; 
268,Immigration; ,Civil Division; ,18-186; 
269,Cyber Crime; ,Criminal Division; USAO - New Jersey; ,18-187; 
270,Human Trafficking; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-183; 
271,Environment; ,Environment and Natural Resources Division; ,18-182; 
272,None,Criminal Division; USAO - Maryland; ,18-181; 
273,Tax; ,"Tax Division; USAO - Pennsylvania, Western; ",18-180; 
274,Tax; ,Tax Division; USAO - Nevada; ,18-177; 
275,Health Care Fraud; ,"Criminal Division; USAO - Michigan, Eastern; ",18-179; 
276,Cyber Crime; ,Criminal Division; USAO - Minnesota; ,18-178; 
277,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Southern; ",18-176; 
278,Tax; ,"Tax Division; USAO - Wisconsin, Western; ",18-174; 
279,Bankruptcy; Consumer Protection; ,U.S. Trustee Program; ,18-175; 
280,Consumer Protection; ,Civil Division; ,19-173; 
281,Foreign Corruption; ,"Criminal Division; USAO - Texas, Southern; ",18-169; 
282,Counterterrorism; ,"National Security Division (NSD); USAO - Virginia, Eastern; ",18-172; 
283,None,"Criminal Division; USAO - Virginia, Eastern; ",18-170; 
284,Environment; ,Environment and Natural Resources Division; ,18-168; 
285,Opioids; Immigration; Violent Crime; ,Office of the Attorney General; ,18-167; 
286,None,Office of the Associate Attorney General; Office of the Attorney General; ,18 - 164; 
287,Tax; ,Tax Division; USAO - Colorado; ,18-163; 
288,Financial Fraud; ,"Criminal Division; USAO - Texas, Southern; ",18-162; 
289,None,"Criminal Division; USAO - Alabama, Middle; ",18-161; 
290,Counterterrorism; ,"National Security Division (NSD); USAO - Florida, Southern; ",18-160; 
291,Environment; ,Environment and Natural Resources Division; ,18-159; 
292,Civil Rights; ,"Civil Rights Division; USAO - Georgia, Northern; ",18-150; 
293,None,Criminal Division; ,18-157; 
294,Antitrust; ,Antitrust Division; ,18-156; 
295,None,"Criminal Division; USAO - Oklahoma, Northern; ",18-155; 
296,Health Care Fraud; ,"Criminal Division; USAO - Louisiana, Eastern; ",18-154; 
297,Antitrust; ,Antitrust Division; ,18-153; 
298,Elder Justice; ,"Criminal Division; USAO - North Carolina, Western; ",18-152; 
299,Immigration; ,"Criminal Division; USAO - New York, Eastern; ",18-151; 
300,Health Care Fraud; ,"Criminal Division; USAO - New York, Eastern; ",18-149; 
301,Asset Forfeiture; Financial Fraud; ,"Asset Forfeiture Program; Criminal Division; USAO - California, Southern; ",18-148; 
302,Immigration; National Security; ,Civil Division; ,18-147; 
303,Cyber Crime; ,Criminal Division; USAO - Nevada; ,18-145; 
304,Counterterrorism; ,"National Security Division (NSD); USAO - Oklahoma, Western; ",18-142; 
305,None,Criminal Division; USAO - Minnesota; ,18-141; 
306,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Eastern; ",18-140; 
307,False Claims Act; ,Civil Division; ,18-135; 
308,None,"Criminal Division; USAO - Virginia, Western; ",18-139; 
309,Environment; ,Environment and Natural Resources Division; ,18-138; 
310,Antitrust; ,Antitrust Division; Federal Bureau of Investigation (FBI); ,18-136; 
311,Tax; ,"Tax Division; USAO - North Carolina, Eastern; ",18-132; 
312,None,"Criminal Division; USAO - California, Northern; ",18-134; 
313,None,"Criminal Division; USAO - Texas, Southern; ",18-133; 
314,Tax; ,Tax Division; ,18-131; 
315,Cyber Crime; ,"Criminal Division; USAO - Virginia, Eastern; ",18-129; 
316,None,Criminal Division; USAO - Connecticut; ,18-130; 
317,None,Criminal Division; USAO - New Jersey; ,18-128; 
318,Civil Rights; ,"Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; USAO - Texas, Southern; ",18-123; 
319,Tax; ,Tax Division; ,18-122; 
320,Antitrust; ,Antitrust Division; ,18-121; 
321,Civil Rights; ,Civil Rights Division; Office of the Attorney General; ,18-121 ; 
322,Prescription Drugs; ,Drug Enforcement Administration (DEA); Office of the Attorney General; ,18 - 120; 
323,None,Criminal Division; ,18-118; 
324,Civil Rights; ,Civil Rights Division; Office of the Associate Attorney General; ,18-119; 
325,None,"Criminal Division; USAO - California, Eastern; ",18-117; 
326,Tax; ,"Tax Division; USAO - Tennessee, Middle; ",18-113; 
327,Financial Fraud; ,"Criminal Division; USAO - Arkansas, Western; ",18-115; 
328,Drug Trafficking; ,Office of the Attorney General; ,18 - 110; 
329,"Financial Fraud; Securities, Commodities, & Investment Fraud; ",Criminal Division; USAO - Connecticut; ,18-111; 
330,Civil Rights; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-108; 
331,Civil Rights; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-107; 
332,None,"Criminal Division; USAO - Texas, Northern; ",18-106; 
333,None,Criminal Division; ,18-105; 
334,Consumer Protection; Elder Justice; Health Care Fraud; ,Civil Division; USAO - South Dakota; ,18-104; 
335,Civil Rights; ,Civil Rights Division; USAO - Kansas; ,18-102; 
336,Antitrust; ,Antitrust Division; Federal Bureau of Investigation (FBI); ,18-101; 
337,Violent Crime; ,"Criminal Division; USAO - Michigan, Eastern; ",18-90; 
338,Tax; ,Tax Division; USAO - Massachusetts; ,18-99; 
339,Tax; ,"Tax Division; USAO - Virginia, Eastern; ",18-92; 
340,Consumer Protection; ,"Civil Division; USAO - Virginia, Eastern; ",18-94; 
341,Project Safe Childhood; ,"Criminal Division; Criminal - Child Exploitation and Obscenity Section; USAO - Virginia, Western; ",18-91; 
342,Environment; ,Environment and Natural Resources Division; ,18-98; 
343,Civil Rights; ,Civil Rights Division; ,19-97; 
344,None,Office of the Associate Attorney General; ,18 - 96; 
345,Environment; ,Environment and Natural Resources Division; ,18-95; 
346,None,"Criminal Division; USAO - Pennsylvania, Middle; ",18-93; 
347,Tax; ,"Tax Division; USAO - Tennessee, Western; ",18-83; 
348,None,"Criminal Division; USAO - Wisconsin, Western; ",18-89; 
349,None,"Criminal Division; USAO - Virginia, Eastern; ",18-88; 
350,Tax; ,Tax Division; USAO - Nevada; ,18-87; 
351,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - Texas, Eastern; ",18-86; 
352,Tax; ,"Tax Division; USAO - Pennsylvania, Middle; ",18-85; 
353,Health Care Fraud; ,"Criminal Division; USAO - Michigan, Eastern; ",18-84; 
354,Civil Rights; Hate Crimes; ,"Civil Rights Division; USAO - Virginia, Eastern; ",18-82; 
355,Opioids; False Claims Act; Health Care Fraud; ,"USAO - Tennessee, Middle; ",None
356,Immigration; ,Office of the Attorney General; ,18-81; 
357,Antitrust; ,Antitrust Division; ,18-80; 
358,None,Federal Bureau of Investigation (FBI); Office of the Attorney General; ,18 - 79; 
359,Tax; ,Tax Division; ,18-76; 
360,None,"National Security Division (NSD); USAO - California, Central; ",18-78; 
361,None,"National Security Division (NSD); USAO - California, Northern; ",18-78; 
362,None,Criminal Division; ,18-77; 
363,False Claims Act; Health Care Fraud; ,"Civil Division; USAO - California, Northern; ",18-74; 
364,False Claims Act; Health Care Fraud; ,Civil Division; USAO - Minnesota; ,18-72; 
365,None,"National Security Division (NSD); USAO - Ohio, Southern; ",18-73; 
366,Civil Rights; ,Civil Rights Division; Civil Rights - Immigrant and Employee Rights Section; ,18-71; 
367,Civil Rights; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-70; 
368,Tax; ,Tax Division; ,18-69; 
369,Health Care Fraud; ,Criminal Division; ,18-68; 
370,Civil Rights; ,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; USAO - New Jersey; ,None
371,False Claims Act; Health Care Fraud; ,"Civil Division; USAO - California, Southern; ",18-67; 
372,None,"Criminal Division; USAO - Tennessee, Eastern; ",18-66; 
373,Tax; ,Tax Division; USAO - New Jersey; ,18-65; 
374,Consumer Protection; ,Civil Division; USAO - New Jersey; ,18-60; 
375,Civil Rights; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-62; 
376,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - New York, Southern; ",18-63; 
377,Wildlife; ,Environment and Natural Resources Division; ,18-64; 
378,Financial Fraud; ,Criminal Division; ,18-59; 
379,Health Care Fraud; ,"Criminal Division; USAO - Michigan, Eastern; ",18-61; 
380,Civil Rights; ,Civil Rights Division; Office of the Associate Attorney General; ,18-53; 
381,None,Office of the Attorney General; ,18 - 58; 
